score_nid,nid,advanced_profile,core_id,title,path,region,country,city,logo,overall_score,rank_display,rank,stars,dagger,redact,scores
3919948,294523,0,134,Universidad Nacional de Colombia,/universities/universidad-nacional-de-colombia,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_small.jpg,41.9,=226,227,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '91', 'score': '69.5'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '29', 'score': '96.8'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '701+', 'score': '6.1'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '701+', 'score': '3.5'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '701+', 'score': '6.4'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '701+', 'score': '1.5'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '620', 'score': '13.3'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '263', 'score': '29.9'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=309', 'score': '49.7'}]"
3919949,294814,0,435,National Cheng Kung University (NCKU),/universities/national-cheng-kung-university-ncku,Asia,Taiwan,Tainan City,https://www.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-48x48.jpg,41.8,228,228,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '164', 'score': '49.4'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '82', 'score': '75.6'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '482', 'score': '32.9'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '544', 'score': '21.2'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '557', 'score': '23.7'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '605', 'score': '15.7'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '653', 'score': '10.9'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '257', 'score': '30.2'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=160', 'score': '78.2'}]"
3919950,294454,0,191,Friedrich-Alexander-Universität Erlangen-Nürnberg,/universities/friedrich-alexander-universitat-erlangen-nurnberg,Europe,Germany,Erlangen,https://www.topuniversities.com/sites/default/files/220609081209am601836FAU-Logo-quadratisch-48x48.jpg,41.7,229,229,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '347', 'score': '25.2'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '446', 'score': '20.9'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '701+', 'score': '2.8'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '48', 'score': '95.8'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '511', 'score': '26.8'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '342', 'score': '39.9'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '172', 'score': '75.1'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '541', 'score': '15.5'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=207', 'score': '69.9'}]"
3919951,295109,1,2146,Al-Farabi Kazakh National University,/universities/al-farabi-kazakh-national-university,Asia,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,41.6,=230,230,5,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '155', 'score': '51.4'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '85', 'score': '74.9'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '38', 'score': '98.9'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '701+', 'score': '1.4'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '497', 'score': '28.8'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '386', 'score': '34'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '634', 'score': '12'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '701+', 'score': '11.5'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '701+', 'score': '5.1'}]"
3919952,295657,1,22873,Khalifa University,/universities/khalifa-university,Asia,United Arab Emirates,Abu Dhabi,https://www.topuniversities.com/sites/default/files/khalifa-university-of-science-and-technology_592560e19988f300e2320ee2_small.jpg,41.6,=230,231,5,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '448', 'score': '19.7'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '451', 'score': '20.4'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '98', 'score': '87.2'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '281', 'score': '48.3'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '10', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '184', 'score': '75.3'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '459', 'score': '29.6'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '701+', 'score': '9'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=220', 'score': '66.5'}]"
3919953,294311,0,234,University of Göttingen,/universities/university-gottingen,Europe,Germany,Göttingen,https://www.topuniversities.com/sites/default/files/university-of-gttingen_234_small.jpg,41.4,232,232,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '172', 'score': '47.4'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '338', 'score': '29'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '183', 'score': '70.1'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '587', 'score': '17.7'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '361', 'score': '49.5'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '505', 'score': '22.5'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '71', 'score': '91.8'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '379', 'score': '21.9'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '274', 'score': '55.5'}]"
3919954,884388,0,2,Deakin University.,/universities/deakin-university,Oceania,Australia,Burwood,https://www.topuniversities.com/sites/default/files/download-48x48.png,41.3,=233,233,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '291', 'score': '29.6'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '373', 'score': '25.8'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '701+', 'score': '4.8'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '160', 'score': '67.4'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '130', 'score': '96.7'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '249', 'score': '59.9'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '303', 'score': '51.4'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '312', 'score': '26.2'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=283', 'score': '54.3'}]"
3919955,294800,1,442,National Tsing Hua University,/universities/national-tsing-hua-university,Asia,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,41.3,=233,234,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '147', 'score': '53.1'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '111', 'score': '67.7'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '542', 'score': '28.3'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '363', 'score': '38.3'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '635', 'score': '16.8'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '546', 'score': '20.1'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '701+', 'score': '6.7'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '525', 'score': '15.9'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=444', 'score': '30.5'}]"
3919956,297099,1,730,Heriot-Watt University,/universities/heriot-watt-university,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/heriot-watt-university_592560cf2aeae70239af4d5f_small.jpg,41.2,235,235,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '537', 'score': '16.4'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '438', 'score': '21.1'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '701+', 'score': '18.6'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '113', 'score': '79.4'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '67', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '66', 'score': '97.6'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '375', 'score': '40.2'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '392', 'score': '21.3'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=342', 'score': '43.5'}]"
3919957,924190,1,44542,Université Paris Cité,/universities/universite-paris-cite,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/230601025838am526615Logotype-UPCite-Enlighten-200px-48x48.jpg,41.1,236,236,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '275', 'score': '31.6'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '601+', 'score': '5.9'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '701+', 'score': '9.2'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '61', 'score': '93.7'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '598', 'score': '19.3'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '336', 'score': '41.5'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '11', 'score': '99.6'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '701+', 'score': '11.6'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=331', 'score': '46'}]"
